Id,logId,start_time,end_time,recorded_minutes,code_1_minutes,code_2_minutes,code_3_minutes
2026352035,11556705027,2016-05-04 21:21:30,2016-05-05 05:25:30,485,468,17,0
2026352035,11564567481,2016-05-05 21:20:30,2016-05-06 06:27:30,548,524,23,1
2026352035,11571001413,2016-05-06 21:22:30,2016-05-07 06:02:30,521,511,9,1
2026352035,11578350038,2016-05-07 20:58:00,2016-05-08 06:25:00,568,541,24,3
2026352035,11586309934,2016-05-08 20:54:00,2016-05-09 06:09:00,556,531,23,2
2026352035,11602073203,2016-05-09 21:54:00,2016-05-10 04:13:00,380,357,19,4
2026352035,11605330115,2016-05-10 21:13:30,2016-05-11 06:25:30,553,523,28,2
2026352035,11613084210,2016-05-11 21:25:00,2016-05-12 05:29:00,485,456,25,4
2320127002,11469474452,2016-04-23 20:10:30,2016-04-23 21:18:30,69,61,4,4
2347167796,11385457746,2016-04-12 22:05:00,2016-04-13 06:55:00,531,467,60,4
2347167796,11390804844,2016-04-13 22:18:00,2016-04-14 06:26:00,489,445,41,3
2347167796,11404834335,2016-04-14 22:27:00,2016-04-15 06:50:00,504,452,49,3
2347167796,11416786187,2016-04-16 22:54:00,2016-04-17 08:55:00,602,556,43,3
2347167796,11425486430,2016-04-17 21:41:00,2016-04-18 06:57:00,557,500,51,6
2347167796,11438439209,2016-04-18 22:09:30,2016-04-19 06:42:30,514,465,44,5
2347167796,11449590252,2016-04-20 22:14:00,2016-04-21 06:17:00,484,460,24,0
2347167796,11460699660,2016-04-21 23:16:30,2016-04-22 06:56:30,461,405,49,7
2347167796,11468101354,2016-04-23 00:20:30,2016-04-23 06:45:30,386,374,12,0
2347167796,11473106301,2016-04-23 23:24:30,2016-04-24 07:02:30,459,442,17,0
2347167796,11485704111,2016-04-24 22:47:00,2016-04-25 06:37:00,471,433,35,3
2347167796,11496194770,2016-04-25 22:34:30,2016-04-26 06:43:30,490,436,52,2
2347167796,11496194771,2016-04-26 22:44:30,2016-04-27 07:02:30,499,448,48,3
2347167796,11508327337,2016-04-27 22:56:00,2016-04-28 06:25:00,450,408,38,4
2347167796,11511973625,2016-04-28 22:59:00,2016-04-29 06:51:00,473,411,59,3
3977333714,11376097379,2016-04-12 00:35:00,2016-04-12 08:23:00,469,274,182,13
3977333714,11383276204,2016-04-13 00:45:00,2016-04-13 07:19:00,395,265,124,6
3977333714,11389080820,2016-04-13 20:21:30,2016-04-13 21:21:30,61,30,31,0
3977333714,11393928506,2016-04-14 01:35:00,2016-04-14 08:11:00,397,291,101,5
