Id,date,TotalMinutesAsleep,same_steps,previous_steps,next_steps
3977333714,2016-04-22,355.0,8911.0,6093.0,12058.0
3977333714,2016-04-23,235.0,12058.0,8911.0,14112.0
3977333714,2016-04-24,310.0,14112.0,12058.0,11177.0
3977333714,2016-04-25,262.0,11177.0,14112.0,11388.0
3977333714,2016-04-26,250.0,11388.0,11177.0,7193.0
3977333714,2016-04-27,349.0,7193.0,11388.0,7114.0
3977333714,2016-04-28,261.0,7114.0,7193.0,10645.0
3977333714,2016-04-29,333.0,10645.0,7114.0,13238.0
3977333714,2016-04-30,237.0,13238.0,10645.0,10414.0
3977333714,2016-05-01,383.0,10414.0,13238.0,16520.0
3977333714,2016-05-02,230.0,16520.0,10414.0,14335.0
3977333714,2016-05-03,292.0,14335.0,16520.0,13559.0
3977333714,2016-05-04,213.0,13559.0,14335.0,12312.0
3977333714,2016-05-05,318.0,12312.0,13559.0,11677.0
3977333714,2016-05-06,323.0,11677.0,12312.0,11550.0
3977333714,2016-05-07,237.0,11550.0,11677.0,13585.0
3977333714,2016-05-08,259.0,13585.0,11550.0,14687.0
3977333714,2016-05-10,312.0,13072.0,14687.0,746.0
4020332650,2016-04-12,501.0,8539.0,,
4020332650,2016-04-16,77.0,1982.0,1882.0,
4020332650,2016-05-03,322.0,4496.0,475.0,10252.0
4020332650,2016-05-04,478.0,10252.0,4496.0,11728.0
4020332650,2016-05-05,226.0,11728.0,10252.0,4369.0
4020332650,2016-05-06,385.0,4369.0,11728.0,6132.0
4020332650,2016-05-08,364.0,5862.0,6132.0,4556.0
4020332650,2016-05-10,442.0,5546.0,4556.0,3689.0
4319703577,2016-04-14,535.0,10210.0,8204.0,5664.0
4319703577,2016-04-15,465.0,5664.0,10210.0,4744.0
4319703577,2016-04-16,506.0,4744.0,5664.0,
4319703577,2016-04-18,515.0,2276.0,,8925.0
4319703577,2016-04-19,461.0,8925.0,2276.0,8954.0
4319703577,2016-04-20,523.0,8954.0,8925.0,3702.0
4319703577,2016-04-21,59.0,3702.0,8954.0,4500.0
4319703577,2016-04-22,533.0,4500.0,3702.0,4935.0
4319703577,2016-04-23,692.0,4935.0,4500.0,4081.0
4319703577,2016-04-24,467.0,4081.0,4935.0,9259.0
4319703577,2016-04-25,488.0,9259.0,4081.0,9899.0
4319703577,2016-04-26,505.0,9899.0,9259.0,10780.0
4319703577,2016-04-27,286.0,10780.0,9899.0,10817.0
4319703577,2016-04-28,497.0,10817.0,10780.0,7990.0
4319703577,2016-04-29,523.0,7990.0,10817.0,8221.0
4319703577,2016-04-30,490.0,8221.0,7990.0,1251.0
4319703577,2016-05-01,484.0,1251.0,8221.0,9261.0
4319703577,2016-05-02,478.0,9261.0,1251.0,9648.0
4319703577,2016-05-03,474.0,9648.0,9261.0,10429.0
4319703577,2016-05-06,450.0,9524.0,13658.0,7937.0
4319703577,2016-05-07,507.0,7937.0,9524.0,3672.0
4319703577,2016-05-08,602.0,3672.0,7937.0,10378.0
4319703577,2016-05-09,535.0,10378.0,3672.0,9487.0
4319703577,2016-05-10,487.0,9487.0,10378.0,9129.0
4319703577,2016-05-11,529.0,9129.0,9487.0,
4319703577,2016-05-12,302.0,,9129.0,
4388161847,2016-04-15,499.0,8758.0,8863.0,6580.0
4388161847,2016-04-16,426.0,6580.0,8758.0,4660.0
4388161847,2016-04-17,619.0,4660.0,6580.0,11009.0
4388161847,2016-04-18,99.0,11009.0,4660.0,10181.0
4388161847,2016-04-19,329.0,10181.0,11009.0,10553.0
4388161847,2016-04-20,421.0,10553.0,10181.0,10055.0
4388161847,2016-04-21,442.0,10055.0,10553.0,12139.0
4388161847,2016-04-22,82.0,12139.0,10055.0,13236.0
4388161847,2016-04-23,478.0,13236.0,12139.0,10243.0
4388161847,2016-04-24,552.0,10243.0,13236.0,12961.0
4388161847,2016-04-26,319.0,9461.0,12961.0,11193.0
4388161847,2016-04-27,439.0,11193.0,9461.0,10074.0
4388161847,2016-04-28,428.0,10074.0,11193.0,9232.0
4388161847,2016-04-30,409.0,12533.0,9232.0,10255.0
4388161847,2016-05-01,547.0,10255.0,12533.0,10096.0
4388161847,2016-05-02,368.0,10096.0,10255.0,12727.0
4388161847,2016-05-04,390.0,12375.0,12727.0,9603.0
4388161847,2016-05-05,471.0,9603.0,12375.0,13175.0
4388161847,2016-05-07,472.0,22770.0,13175.0,17298.0
4388161847,2016-05-08,529.0,17298.0,22770.0,10218.0
4388161847,2016-05-09,62.0,10218.0,17298.0,10299.0
4388161847,2016-05-10,354.0,10299.0,10218.0,10201.0
4388161847,2016-05-11,469.0,10201.0,10299.0,3369.0
4445114986,2016-04-12,429.0,3276.0,,2961.0
4445114986,2016-04-13,370.0,2961.0,3276.0,3974.0
4445114986,2016-04-14,441.0,3974.0,2961.0,7198.0
4445114986,2016-04-15,337.0,7198.0,3974.0,3945.0
4445114986,2016-04-16,462.0,3945.0,7198.0,2268.0
4445114986,2016-04-17,98.0,2268.0,3945.0,6155.0
4445114986,2016-04-19,388.0,2064.0,6155.0,2072.0
4445114986,2016-04-20,439.0,2072.0,2064.0,3809.0
4445114986,2016-04-21,436.0,3809.0,2072.0,6831.0
4445114986,2016-04-22,388.0,6831.0,3809.0,4363.0
4445114986,2016-04-25,328.0,3385.0,5002.0,6326.0
4445114986,2016-04-26,353.0,6326.0,3385.0,7243.0
4445114986,2016-04-27,332.0,7243.0,6326.0,4493.0
4445114986,2016-04-28,419.0,4493.0,7243.0,4676.0
4445114986,2016-04-29,106.0,4676.0,4493.0,6222.0
4445114986,2016-04-30,322.0,6222.0,4676.0,5232.0
4445114986,2016-05-01,439.0,5232.0,6222.0,6910.0
4445114986,2016-05-02,502.0,6910.0,5232.0,7502.0
4445114986,2016-05-03,417.0,7502.0,6910.0,2923.0
4445114986,2016-05-04,337.0,2923.0,7502.0,3800.0
4445114986,2016-05-05,462.0,3800.0,2923.0,4514.0
4445114986,2016-05-06,374.0,4514.0,3800.0,5183.0
4445114986,2016-05-07,401.0,5183.0,4514.0,7303.0
4445114986,2016-05-08,361.0,7303.0,5183.0,5275.0
4445114986,2016-05-09,457.0,5275.0,7303.0,3915.0
4445114986,2016-05-10,405.0,3915.0,5275.0,9105.0
4445114986,2016-05-11,499.0,9105.0,3915.0,768.0
4445114986,2016-05-12,483.0,768.0,9105.0,
4558609924,2016-04-21,126.0,13743.0,4803.0,9601.0
4558609924,2016-04-26,103.0,9148.0,8095.0,9557.0
4558609924,2016-04-29,171.0,7833.0,9451.0,10319.0
4558609924,2016-05-01,115.0,3428.0,10319.0,7891.0
4558609924,2016-05-08,123.0,6543.0,8237.0,11451.0
4702921684,2016-04-12,425.0,7213.0,,6877.0
4702921684,2016-04-13,400.0,6877.0,7213.0,7860.0
4702921684,2016-04-14,384.0,7860.0,6877.0,6506.0
4702921684,2016-04-15,253.0,6506.0,7860.0,11140.0
4702921684,2016-04-16,382.0,11140.0,6506.0,12692.0
4702921684,2016-04-17,591.0,12692.0,11140.0,9105.0
4702921684,2016-04-18,293.0,9105.0,12692.0,6708.0
4702921684,2016-04-19,457.0,6708.0,9105.0,8793.0
4702921684,2016-04-20,454.0,8793.0,6708.0,6530.0
4702921684,2016-04-21,425.0,6530.0,8793.0,1664.0
4702921684,2016-04-23,465.0,15126.0,1664.0,15050.0
4702921684,2016-04-24,480.0,15050.0,15126.0,9167.0
4702921684,2016-04-25,370.0,9167.0,15050.0,6108.0
4702921684,2016-04-26,421.0,6108.0,9167.0,7047.0
4702921684,2016-04-27,432.0,7047.0,6108.0,9023.0
4702921684,2016-04-28,442.0,9023.0,7047.0,9930.0
4702921684,2016-04-29,433.0,9930.0,9023.0,10144.0
4702921684,2016-04-30,479.0,10144.0,9930.0,
4702921684,2016-05-03,327.0,9454.0,7245.0,8161.0
4702921684,2016-05-04,412.0,8161.0,9454.0,8614.0
4702921684,2016-05-05,414.0,8614.0,8161.0,6943.0
4702921684,2016-05-06,404.0,6943.0,8614.0,14370.0
4702921684,2016-05-07,520.0,14370.0,6943.0,12857.0
4702921684,2016-05-09,435.0,8232.0,12857.0,10613.0
4702921684,2016-05-10,416.0,10613.0,8232.0,9810.0
4702921684,2016-05-11,354.0,9810.0,10613.0,2752.0
4702921684,2016-05-12,404.0,2752.0,9810.0,
5553957443,2016-04-12,441.0,11596.0,,4832.0
5553957443,2016-04-13,455.0,4832.0,11596.0,17022.0
5553957443,2016-04-14,357.0,17022.0,4832.0,16556.0
5553957443,2016-04-15,377.0,16556.0,17022.0,5771.0
5553957443,2016-04-16,651.0,5771.0,16556.0,655.0
5553957443,2016-04-17,350.0,655.0,5771.0,3727.0
5553957443,2016-04-18,520.0,3727.0,655.0,15482.0
5553957443,2016-04-19,357.0,15482.0,3727.0,2713.0
5553957443,2016-04-20,658.0,2713.0,15482.0,12346.0
5553957443,2016-04-21,399.0,12346.0,2713.0,11682.0
5553957443,2016-04-22,322.0,11682.0,12346.0,4112.0
5553957443,2016-04-23,631.0,4112.0,11682.0,1807.0
5553957443,2016-04-24,553.0,1807.0,4112.0,10946.0
5553957443,2016-04-25,433.0,10946.0,1807.0,11886.0
5553957443,2016-04-26,412.0,11886.0,10946.0,10538.0
5553957443,2016-04-27,347.0,10538.0,11886.0,11393.0
5553957443,2016-04-28,421.0,11393.0,10538.0,12764.0
5553957443,2016-04-29,450.0,12764.0,11393.0,1202.0
5553957443,2016-04-30,775.0,1202.0,12764.0,5164.0
5553957443,2016-05-01,622.0,5164.0,1202.0,9769.0
5553957443,2016-05-02,409.0,9769.0,5164.0,12848.0
5553957443,2016-05-03,380.0,12848.0,9769.0,4249.0
5553957443,2016-05-04,447.0,4249.0,12848.0,14331.0
5553957443,2016-05-05,419.0,14331.0,4249.0,9632.0
5553957443,2016-05-06,400.0,9632.0,14331.0,1868.0
5553957443,2016-05-07,442.0,1868.0,9632.0,6083.0
5553957443,2016-05-08,568.0,6083.0,1868.0,11611.0
5553957443,2016-05-09,453.0,11611.0,6083.0,16358.0
5553957443,2016-05-10,418.0,16358.0,11611.0,4926.0
5553957443,2016-05-11,463.0,4926.0,16358.0,3121.0
5553957443,2016-05-12,438.0,3121.0,4926.0,
5577150313,2016-04-12,419.0,8135.0,,5077.0
5577150313,2016-04-13,432.0,5077.0,8135.0,8596.0
5577150313,2016-04-14,477.0,8596.0,5077.0,12087.0
5577150313,2016-04-15,392.0,12087.0,8596.0,14269.0
5577150313,2016-04-16,406.0,14269.0,12087.0,12231.0
5577150313,2016-04-17,549.0,12231.0,14269.0,9893.0
5577150313,2016-04-18,527.0,9893.0,12231.0,12574.0
5577150313,2016-04-19,449.0,12574.0,9893.0,8330.0
5577150313,2016-04-20,447.0,8330.0,12574.0,10830.0
5577150313,2016-04-21,414.0,10830.0,8330.0,9172.0
5577150313,2016-04-22,338.0,9172.0,10830.0,7638.0
5577150313,2016-04-23,384.0,7638.0,9172.0,15764.0
5577150313,2016-04-24,543.0,15764.0,7638.0,6393.0
5577150313,2016-04-25,421.0,6393.0,15764.0,5325.0
5577150313,2016-04-26,354.0,5325.0,6393.0,6805.0
5577150313,2016-04-27,424.0,6805.0,5325.0,9841.0
5577150313,2016-04-28,361.0,9841.0,6805.0,7924.0
5577150313,2016-04-29,459.0,7924.0,9841.0,12363.0
5577150313,2016-04-30,412.0,12363.0,7924.0,13368.0
5577150313,2016-05-01,379.0,13368.0,12363.0,7439.0
5577150313,2016-05-02,525.0,7439.0,13368.0,11045.0
5577150313,2016-05-03,508.0,11045.0,7439.0,5206.0
5577150313,2016-05-04,603.0,5206.0,11045.0,7550.0
5577150313,2016-05-05,74.0,7550.0,5206.0,4950.0
5577150313,2016-05-10,504.0,8869.0,3421.0,4038.0
5577150313,2016-05-11,431.0,4038.0,8869.0,
6117666160,2016-04-16,380.0,14450.0,14019.0,7150.0
6117666160,2016-04-17,336.0,7150.0,14450.0,5153.0
6117666160,2016-04-18,493.0,5153.0,7150.0,11135.0
6117666160,2016-04-19,465.0,11135.0,5153.0,10449.0
6117666160,2016-04-20,474.0,10449.0,11135.0,19542.0
6117666160,2016-04-21,508.0,19542.0,10449.0,8206.0
6117666160,2016-04-22,480.0,8206.0,19542.0,11495.0
6117666160,2016-04-23,492.0,11495.0,8206.0,7623.0
6117666160,2016-04-24,353.0,7623.0,11495.0,
6117666160,2016-04-27,542.0,9411.0,9543.0,3403.0
6117666160,2016-04-28,393.0,3403.0,9411.0,9592.0
6117666160,2016-04-29,600.0,9592.0,3403.0,6987.0
6117666160,2016-05-01,507.0,8915.0,6987.0,4933.0
6117666160,2016-05-05,392.0,9799.0,2997.0,3365.0
6117666160,2016-05-06,658.0,3365.0,9799.0,7336.0
6117666160,2016-05-07,498.0,7336.0,3365.0,7328.0
6117666160,2016-05-08,555.0,7328.0,7336.0,4477.0
6117666160,2016-05-09,492.0,4477.0,7328.0,
6775888955,2016-04-13,235.0,4053.0,,5162.0
6775888955,2016-04-14,423.0,5162.0,4053.0,1282.0
6775888955,2016-04-15,391.0,1282.0,5162.0,4732.0
6962181067,2016-04-12,366.0,10199.0,,5652.0
6962181067,2016-04-13,630.0,5652.0,10199.0,1551.0
6962181067,2016-04-14,508.0,1551.0,5652.0,5563.0
6962181067,2016-04-15,370.0,5563.0,1551.0,13217.0
6962181067,2016-04-16,357.0,13217.0,5563.0,10145.0
6962181067,2016-04-17,427.0,10145.0,13217.0,11404.0
6962181067,2016-04-18,442.0,11404.0,10145.0,10742.0
6962181067,2016-04-19,476.0,10742.0,11404.0,13928.0
6962181067,2016-04-20,418.0,13928.0,10742.0,11835.0
6962181067,2016-04-21,451.0,11835.0,13928.0,10725.0
6962181067,2016-04-22,425.0,10725.0,11835.0,20031.0
6962181067,2016-04-23,528.0,20031.0,10725.0,5029.0
6962181067,2016-04-24,511.0,5029.0,20031.0,13239.0
6962181067,2016-04-25,400.0,13239.0,5029.0,10433.0
6962181067,2016-04-26,441.0,10433.0,13239.0,10320.0
6962181067,2016-04-27,455.0,10320.0,10433.0,12627.0
6962181067,2016-04-28,440.0,12627.0,10320.0,10762.0
6962181067,2016-04-29,433.0,10762.0,12627.0,10081.0
6962181067,2016-04-30,422.0,10081.0,10762.0,5454.0
6962181067,2016-05-01,411.0,5454.0,10081.0,12912.0
6962181067,2016-05-02,466.0,12912.0,5454.0,12109.0
6962181067,2016-05-03,394.0,12109.0,12912.0,10147.0
6962181067,2016-05-04,442.0,10147.0,12109.0,10524.0
6962181067,2016-05-05,467.0,10524.0,10147.0,5908.0
6962181067,2016-05-06,443.0,5908.0,10524.0,6815.0
6962181067,2016-05-07,298.0,6815.0,5908.0,4188.0
6962181067,2016-05-08,541.0,4188.0,6815.0,12342.0
6962181067,2016-05-09,489.0,12342.0,4188.0,15448.0
6962181067,2016-05-10,469.0,15448.0,12342.0,6722.0
6962181067,2016-05-11,452.0,6722.0,15448.0,3587.0
6962181067,2016-05-12,516.0,3587.0,6722.0,
7007744171,2016-04-16,79.0,4631.0,5273.0,8059.0
7007744171,2016-05-01,58.0,5600.0,3761.0,13041.0
7086361926,2016-04-12,514.0,11317.0,,5813.0
7086361926,2016-04-13,451.0,5813.0,11317.0,9123.0
7086361926,2016-04-14,472.0,9123.0,5813.0,8585.0
7086361926,2016-04-15,377.0,8585.0,9123.0,
7086361926,2016-04-19,472.0,10688.0,9827.0,14365.0
7086361926,2016-04-20,492.0,14365.0,10688.0,9469.0
7086361926,2016-04-21,390.0,9469.0,14365.0,9753.0
7086361926,2016-04-22,428.0,9753.0,9469.0,2817.0
7086361926,2016-04-24,681.0,3520.0,2817.0,10091.0
7086361926,2016-04-25,446.0,10091.0,3520.0,10387.0
7086361926,2016-04-26,485.0,10387.0,10091.0,11107.0
7086361926,2016-04-27,469.0,11107.0,10387.0,11584.0
7086361926,2016-04-28,354.0,11584.0,11107.0,7881.0
7086361926,2016-04-30,485.0,14560.0,7881.0,12390.0
7086361926,2016-05-01,388.0,12390.0,14560.0,10052.0
7086361926,2016-05-02,440.0,10052.0,12390.0,10288.0
7086361926,2016-05-03,456.0,10288.0,10052.0,10988.0
7086361926,2016-05-04,420.0,10988.0,10288.0,8564.0
7086361926,2016-05-06,322.0,12461.0,8564.0,12827.0
7086361926,2016-05-07,530.0,12827.0,12461.0,10677.0
7086361926,2016-05-08,481.0,10677.0,12827.0,13566.0
7086361926,2016-05-09,427.0,13566.0,10677.0,14433.0
7086361926,2016-05-11,451.0,9572.0,14433.0,3789.0
7086361926,2016-05-12,444.0,3789.0,9572.0,
8053475328,2016-04-20,486.0,15108.0,15929.0,16057.0
8053475328,2016-04-23,331.0,22359.0,10520.0,22988.0
8053475328,2016-05-07,74.0,19769.0,13953.0,22026.0
8378563200,2016-04-12,338.0,7626.0,,12386.0
8378563200,2016-04-13,447.0,12386.0,7626.0,13318.0
8378563200,2016-04-14,424.0,13318.0,12386.0,14461.0
8378563200,2016-04-15,513.0,14461.0,13318.0,11207.0
8378563200,2016-04-16,611.0,11207.0,14461.0,2132.0
8378563200,2016-04-17,525.0,2132.0,11207.0,13630.0
8378563200,2016-04-18,398.0,13630.0,2132.0,13070.0
8378563200,2016-04-19,387.0,13070.0,13630.0,9388.0
8378563200,2016-04-20,381.0,9388.0,13070.0,15148.0
8378563200,2016-04-21,396.0,15148.0,9388.0,12200.0
8378563200,2016-04-22,441.0,12200.0,15148.0,5709.0
8378563200,2016-04-23,565.0,5709.0,12200.0,3703.0
8378563200,2016-04-24,458.0,3703.0,5709.0,12405.0
8378563200,2016-04-25,388.0,12405.0,3703.0,16208.0
8378563200,2016-04-26,550.0,16208.0,12405.0,7359.0
8378563200,2016-04-27,531.0,7359.0,16208.0,5417.0
8378563200,2016-04-28,506.0,5417.0,7359.0,6175.0
8378563200,2016-04-29,527.0,6175.0,5417.0,2946.0
8378563200,2016-04-30,468.0,2946.0,6175.0,11419.0
8378563200,2016-05-01,475.0,11419.0,2946.0,6064.0
8378563200,2016-05-02,351.0,6064.0,11419.0,8712.0
8378563200,2016-05-03,405.0,8712.0,6064.0,7875.0
8378563200,2016-05-04,441.0,7875.0,8712.0,8567.0
8378563200,2016-05-05,381.0,8567.0,7875.0,7045.0
8378563200,2016-05-06,323.0,7045.0,8567.0,4468.0
8378563200,2016-05-07,459.0,4468.0,7045.0,2943.0
8378563200,2016-05-08,545.0,2943.0,4468.0,8382.0
8378563200,2016-05-09,359.0,8382.0,2943.0,6582.0
8378563200,2016-05-10,342.0,6582.0,8382.0,9143.0
8378563200,2016-05-11,368.0,9143.0,6582.0,4561.0
8378563200,2016-05-12,496.0,4561.0,9143.0,
8792009665,2016-04-12,458.0,2564.0,,1320.0
8792009665,2016-04-13,531.0,1320.0,2564.0,1219.0
8792009665,2016-04-14,486.0,1219.0,1320.0,2483.0
8792009665,2016-04-15,363.0,2483.0,1219.0,244.0
8792009665,2016-04-20,528.0,3147.0,,144.0
8792009665,2016-04-22,391.0,4068.0,144.0,5245.0
8792009665,2016-04-23,339.0,5245.0,4068.0,400.0
8792009665,2016-04-27,423.0,1758.0,1321.0,6157.0
8792009665,2016-04-28,402.0,6157.0,1758.0,8360.0
8792009665,2016-04-29,398.0,8360.0,6157.0,7174.0
8792009665,2016-04-30,343.0,7174.0,8360.0,1619.0
8792009665,2016-05-01,503.0,1619.0,7174.0,1831.0
8792009665,2016-05-02,415.0,1831.0,1619.0,2421.0
8792009665,2016-05-03,516.0,2421.0,1831.0,2283.0
8792009665,2016-05-04,439.0,2283.0,2421.0,
